,HF Rep 1,TTA Rep 1,FO Rep 1,TTA+FO Rep 1,HF Rep 2,TTA Rep 2,FO Rep 2,TTA+FO Rep 2,HF Rep 3,TTA Rep 3,FO Rep 3,TTA+FO Rep 3
O55096,0.077069658,0.0072183017,-0.0896291482,-0.0197232241,0.1283031784,-0.1224053839,0.0240566128,0.0026044714,0.2908125741,-0.0554262882,0.0242173739,-0.218468562
O55171,-0.9818342998,0.9112016524,0.0792180226,1.1777240437,-1.2250888999,0.9896300786,-0.1640211128,0.8565949476,-0.8375904103,0.8646150546,-0.1821371459,0.4371781776
O70127,0.2328178508,0.051425961,0.1170310242,-0.1994105016,0.5251220436,-0.1142837752,0.0750500166,-0.4030564311,-0.0006857298,-0.0793209237,-0.105779701,0.0851136872
O70127;Q9QZA2,0.2426238597,-0.1999712745,0.1842123741,-0.2268649592,NA,NA,NA,NA,NA,NA,NA,NA
O70199,0.5243739653,-0.2555338591,0.1097584049,-0.4201538162,0.3971872878,-0.3226495656,0.1639671585,-0.313088059,0.6690224477,-0.5820591019,-0.0733188368,-0.0724827447
O70199;P70584,0.6873951459,-0.5178079019,0.5022397682,-0.6718270121,NA,NA,NA,NA,0.279255092,-0.3366933789,0.0915117854,-0.0340734984
O70351,-0.1745534387,0.1308841929,-0.018229159,0.029845964,0.0533364129,0.1488419045,-0.0637653888,0.2034363212,0.0823574439,0.1464780362,0.3017830898,0.0536520702
O70597,-1.2441223446,1.0829204913,-1.0087948332,1.0074993792,-0.9143259443,1.1507630511,-0.6924072122,0.7751834816,-0.8431746693,0.8866281938,-0.3216850109,0.5457393367
O88267,-1.0382267328,1.2284241443,-1.1215853582,1.0275727451,-0.8280799946,1.3444208308,-0.9803907873,0.8681636559,-0.6627945426,1.4219340486,-0.7541152897,0.4421688054
O88267;O55171,-1.5814139075,1.3474709883,-0.6831323734,1.2817616889,-1.8954569206,1.3288156231,-0.6500474868,1.0520718937,-1.4595311694,1.1589950742,-0.4447895064,0.5244417083
O88600,0.0997018367,-0.027494406,-0.029812578,0.0014699153,-0.0048664744,0.0073699817,-0.0419978811,-0.0426061438,-0.0078222651,-0.0878329438,0.065498189,-0.0251280198
